,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
增值服務_成本,"138,636","121,287","94,086","73,961","61,389","37,622","28,422","20,619","15,384",
網絡廣告_成本,"48,072","40,011","34,860","37,273","25,586","15,396","8,941","4,660","2,777",
其他_成本,"6,667","7,399","6,979","59,340","33,860","14,421","4,268","1,147",378,
收入成本總额_成本,"314,174","260,532","209,756","170,574","120,835","67,439","41,631","30,873","27,778",
金融科技及企業服務_成本,"120,799","91,835","73,831",0,0,0,0,0,0,
電子商務交易_成本,0,0,0,0,0,0,0,"4,447","9,239",
增值服務,"291,572","264,212","199,991","176,646","153,983","107,810","80,669","63,310","44,985",
網絡廣告,"88,666","82,271","68,377","58,079","40,439","26,970","17,468","8,308","5,034",
其他,"7,685","7,495","7,566","77,969","43,338","17,158","4,726","2,561",622,
收入總额,"560,118","482,064","377,289","312,694","237,760","151,938","102,863","78,932","60,437",
金融科技及企業服務,"172,195","128,086","101,355",0,0,0,0,0,0,
電子商務交易,0,0,0,0,0,0,0,"4,753","9,796",
微信及WeChatE的合併月活躍賬戶數,"1,268.20","1,225.00","1,164.80","1,097.60",988.6,889.3,697.0,500.0,355.0,
QQ的智能終端月活躍賬戶數,552.1,594.9,647,699.8,683.0,652.5,641.5,576.1,434.8,
收費增值服務註冊賬戶數,236.3,219.5,180.1,160.3,134.6,110.2,94.6,83.7,88.6,
雇员,"112,771 ","85,858 ","62,885 ","54,309 ","44,796 ","38,775 ","30,641 ","27,690 ","27,492 ","24,160 "
年报搜索关键字,,,,,,,,,,
名僱員,,,,,,,,,,
